start	end	word
7.9450	8.4660	Huddering
8.5460	8.6060	is
8.6660	8.8060	when
8.8660	9.0670	my
9.1270	9.3870	words
9.4470	9.6680	get
9.7280	10.2090	stuck,
10.2290	10.3690	like
10.4290	10.4690	I
10.5290	10.8100	just
10.8300	10.9300	did.
11.5310	12.0320	Duddering
12.1520	12.2520	is
12.3320	12.5120	not
12.6120	13.0730	something
13.1130	13.2530	that
13.2940	13.4140	you
13.4540	13.6140	can
13.6940	14.0550	help,
14.9360	15.4970	something
15.6170	15.9580	that
16.0380	16.2780	just
17.4200	17.7410	comes
17.8410	18.1210	along
18.2010	18.3420	with
18.3820	18.6420	some
18.6620	19.0830	people.
19.3630	19.4230	I
19.4630	19.6240	get
19.6640	20.0240	worried,
20.3650	20.5450	like
20.6050	20.7650	what
20.8460	21.0460	other
21.1060	21.4270	people
21.4870	21.6870	might
21.7470	22.0070	think,
22.6080	22.6890	if
24.6720	24.7720	I
24.8120	25.0120	do
25.0320	25.4330	stutter.
26.0140	26.2940	Kids
26.7350	27.1760	should
27.2160	28.0770	ignore
28.1170	28.3780	the
28.4180	28.8580	people
28.8780	28.9380	who
29.9600	30.3410	tease
30.7810	31.0020	them
31.1220	33.6660	about
34.8440	36.1650	because
36.1850	37.5670	it's
37.6670	37.8670	not
37.9670	38.1670	their
38.2470	38.5670	fault.
39.3080	39.3680	I
39.4080	40.7500	worry
40.8300	41.3300	about
41.4100	41.4500	it
41.5700	41.8110	when
41.8310	41.8510	I
42.6710	42.9320	came
43.2120	43.3120	on
43.6920	43.8320	S
44.1130	44.2930	word
44.3530	44.7730	words
47.1350	47.2160	and
47.2560	47.3960	they
47.4760	47.7160	always
47.7960	47.9360	get
47.9760	48.0960	me
48.2160	48.5570	stuck
48.6770	48.7370	on
48.7970	49.1370	stuff
50.2780	50.3790	and
50.4390	50.6990	work
51.7600	51.9200	with
51.9800	52.0200	an
52.3200	52.4400	S.
55.9240	55.9640	At
56.0040	56.1440	the
56.1640	56.6240	beginning.
58.3860	58.6060	Help
58.7260	58.8060	us
58.8460	59.1670	help
59.2670	59.5070	those
59.5670	59.7270	who
59.7870	60.1480	stutter.
60.1880	61.0080	Donate
61.0890	61.3290	now
61.6890	61.7890	to
61.8290	61.9090	the
61.9690	62.3500	Stuttering
62.4300	62.9500	Foundation
62.9900	63.0300	of
63.1300	63.7710	America
